"SecurityID","Symbol","ContractCode","ShortName","TradingDate","DataType","ExchangeCode","CallOrPut","UnderlyingSecurityID","Filling","ContinueSign","MainSign","PreClosePrice","PreSettlePrice","PrePosition","PositionChange","AvgPrice","ClosePriceChangeRatio","SettlePriceChangeRatio","Amplitude","LimitUp","LimitDown","InitialMargin","MaintainingMargin","InitialMarginRatio","MaintainingMarginRatio","ChangeRatio"
"209000000011","90000011","510050C1402M01450","50ETF购2月1450","2014-01-14","2","SSE","C","202000001384","0","P9802","2","","","","","0.0712","","","","0.2210","0.0010","","2982.5000","","19.9498",""
"209000000012","90000012","510050C1402M01500","50ETF购2月1500","2014-01-14","2","SSE","C","202000001384","0","P9802","2","","","","","0.0427","","","","0.1910","0.0010","","2642.5000","","17.6756",""
"209000000013","90000013","510050C1402M01550","50ETF购2月1550","2014-01-14","2","SSE","C","202000001384","0","P9802","2","","","","","0.0233","","","","0.1660","0.0010","","1932.5000","","12.9264",""
"209000000014","90000014","510050C1402M01600","50ETF购2月1600","2014-01-14","2","SSE","C","202000001384","0","P9802","2","","","","","0.0112","","","","0.1500","0.0010","","1312.5000","","8.7793",""
"209000000001","90000001","510050C1401M01450","50ETF购1月1450","2014-01-14","2","SSE","C","202000001384","0","P9801","2","","","","","0.0467","","","","0.1950","0.0010","","2742.5000","","18.3445",""
"209000000002","90000002","510050C1401M01500","50ETF购1月1500","2014-01-14","2","SSE","C","202000001384","0","P9801","1","","","","","0.0157","","","","0.1630","0.0010","","2352.5000","","15.7358",""
"209000000003","90000003","510050C1401M01550","50ETF购1月1550","2014-01-14","2","SSE","C","202000001384","0","P9801","2","","","","","0.0026","","","","0.1460","0.0010","","1712.5000","","11.4548",""
"209000000004","90000004","510050C1401M01600","50ETF购1月1600","2014-01-14","2","SSE","C","202000001384","0","P9801","2","","","","","0.0014","","","","0.1390","0.0010","","1202.5000","","8.0435",""
"209000000005","90000005","510050C1401M01650","50ETF购1月1650","2014-01-14","2","SSE","C","202000001384","0","P9801","2","","","","","0.0016","","","","0.1340","0.0010","","1056.5000","","7.0669",""
"209000000006","90000006","510050P1401M01450","50ETF沽1月1450","2014-01-14","2","SSE","P","202000001384","0","P9801","2","","","","","0.0033","","","","0.1450","0.0010","","1822.5000","","12.1906",""
"209000000007","90000007","510050P1401M01500","50ETF沽1月1500","2014-01-14","2","SSE","P","202000001384","0","P9801","2","","","","","0.0229","","","","0.1700","0.0010","","2442.5000","","16.3378",""
"209000000008","90000008","510050P1401M01550","50ETF沽1月1550","2014-01-14","2","SSE","P","202000001384","0","P9801","2","","","","","0.0601","","","","0.2080","0.0010","","2812.5000","","18.8127",""
"209000000009","90000009","510050P1401M01600","50ETF沽1月1600","2014-01-14","2","SSE","P","202000001384","0","P9801","2","","","","","0.1078","","","","0.2560","0.0010","","3292.5000","","22.0234",""
"209000000010","90000010","510050P1401M01650","50ETF沽1月1650","2014-01-14","2","SSE","P","202000001384","0","P9801","2","","","","","0.1583","","","","0.3060","0.0080","","3792.5000","","25.3679",""
"209000000017","90000017","510050P1402M01500","50ETF沽2月1500","2014-01-14","2","SSE","P","202000001384","0","P9802","2","","","","","0.0433","","","","0.1920","0.0010","","2662.5000","","17.8094",""
"209000000018","90000018","510050P1402M01550","50ETF沽2月1550","2014-01-14","2","SSE","P","202000001384","0","P9802","2","","","","","0.0741","","","","0.2220","0.0010","","2962.5000","","19.8161",""
"209000000019","90000019","510050P1402M01600","50ETF沽2月1600","2014-01-14","2","SSE","P","202000001384","0","P9802","2","","","","","0.1119","","","","0.2600","0.0010","","3332.5000","","22.2910",""
"209000000020","90000020","510050P1402M01650","50ETF沽2月1650","2014-01-14","2","SSE","P","202000001384","0","P9802","2","","","","","0.1557","","","","0.3060","0.0080","","3792.5000","","25.3679",""
"209000000021","90000021","510050C1403M01450","50ETF购3月1450","2014-01-14","2","SSE","C","202000001384","0","P9803","2","","","","","0.0863","","","","0.2350","0.0010","","3122.5000","","20.8863",""
"209000000022","90000022","510050C1403M01500","50ETF购3月1500","2014-01-14","2","SSE","C","202000001384","0","P9803","2","","","","","0.0583","","","","0.2060","0.0010","","2792.5000","","18.6789",""
"209000000015","90000015","510050C1402M01650","50ETF购2月1650","2014-01-14","2","SSE","C","202000001384","0","P9802","2","","","","","0.0051","","","","0.1390","0.0010","","1106.5000","","7.4013",""
"209000000016","90000016","510050P1402M01450","50ETF沽2月1450","2014-01-14","2","SSE","P","202000001384","0","P9802","2","","","","","0.0224","","","","0.1630","0.0010","","2002.5000","","13.3946",""
"209000000023","90000023","510050C1403M01550","50ETF购3月1550","2014-01-14","2","SSE","C","202000001384","0","P9803","2","","","","","0.0370","","","","0.1800","0.0010","","2072.5000","","13.8629",""
"209000000024","90000024","510050C1403M01600","50ETF购3月1600","2014-01-14","2","SSE","C","202000001384","0","P9803","2","","","","","0.0225","","","","0.1600","0.0010","","1432.5000","","9.5819",""
"209000000025","90000025","510050C1403M01650","50ETF购3月1650","2014-01-14","2","SSE","C","202000001384","0","P9803","2","","","","","0.0128","","","","0.1460","0.0010","","1176.5000","","7.8696",""
"209000000026","90000026","510050P1403M01450","50ETF沽3月1450","2014-01-14","2","SSE","P","202000001384","0","P9803","2","","","","","0.0324","","","","0.1720","0.0010","","2102.5000","","14.0635",""
"209000000028","90000028","510050P1403M01550","50ETF沽3月1550","2014-01-14","2","SSE","P","202000001384","0","P9803","2","","","","","0.0831","","","","0.2300","0.0010","","3042.5000","","20.3512",""
"209000000029","90000029","510050P1403M01600","50ETF沽3月1600","2014-01-14","2","SSE","P","202000001384","0","P9803","2","","","","","0.1177","","","","0.2650","0.0010","","3392.5000","","22.6923",""
"209000000030","90000030","510050P1403M01650","50ETF沽3月1650","2014-01-14","2","SSE","P","202000001384","0","P9803","2","","","","","0.1575","","","","0.3060","0.0080","","3792.5000","","25.3679",""
"209000000031","90000031","510050C1406M01450","50ETF购6月1450","2014-01-14","2","SSE","C","202000001384","0","P9804","2","","","","","0.1275","","","","0.2770","0.0010","","3542.5000","","23.6957",""
"209000000027","90000027","510050P1403M01500","50ETF沽3月1500","2014-01-14","2","SSE","P","202000001384","0","P9803","2","","","","","0.0539","","","","0.2020","0.0010","","2762.5000","","18.4783",""
"209000000032","90000032","510050C1406M01500","50ETF购6月1500","2014-01-14","2","SSE","C","202000001384","0","P9804","2","","","","","0.0995","","","","0.2490","0.0010","","3212.5000","","21.4883",""
"209000000033","90000033","510050C1406M01550","50ETF购6月1550","2014-01-14","2","SSE","C","202000001384","0","P9804","2","","","","","0.0771","","","","0.2210","0.0010","","2482.5000","","16.6054",""
"209000000034","90000034","510050C1406M01600","50ETF购6月1600","2014-01-14","2","SSE","C","202000001384","0","P9804","2","","","","","0.0590","","","","0.1970","0.0010","","1792.5000","","11.9900",""
"209000000035","90000035","510050C1406M01650","50ETF购6月1650","2014-01-14","2","SSE","C","202000001384","0","P9804","2","","","","","0.0436","","","","0.1770","0.0010","","1496.5000","","10.0100",""
"209000000036","90000036","510050P1406M01450","50ETF沽6月1450","2014-01-14","2","SSE","P","202000001384","0","P9804","2","","","","","0.0572","","","","0.1970","0.0010","","2352.5000","","15.7358",""
"209000000037","90000037","510050P1406M01500","50ETF沽6月1500","2014-01-14","2","SSE","P","202000001384","0","P9804","2","","","","","0.0814","","","","0.2270","0.0010","","3022.5000","","20.2174",""
"209000000039","90000039","510050P1406M01600","50ETF沽6月1600","2014-01-14","2","SSE","P","202000001384","0","P9804","2","","","","","0.1360","","","","0.2840","0.0010","","3582.5000","","23.9632",""
"209000000038","90000038","510050P1406M01550","50ETF沽6月1550","2014-01-14","2","SSE","P","202000001384","0","P9804","2","","","","","0.1065","","","","0.2530","0.0010","","3282.5000","","21.9565",""
"209000000044","90000044","510180C1401M02050","180ETF购1月2050","2014-01-14","2","SSE","C","202000001396","0","P9801","2","","","","","0.0010","","","","0.1780","0.0010","","1567.0000","","8.1700",""
"209000000045","90000045","510180C1401M02100","180ETF购1月2100","2014-01-14","2","SSE","C","202000001396","0","P9801","2","","","","","0.0010","","","","0.1730","0.0010","","1352.6000","","7.0521",""
"209000000046","90000046","510180P1401M01900","180ETF沽1月1900","2014-01-14","2","SSE","P","202000001396","0","P9801","2","","","","","0.0185","","","","0.2110","0.0010","","2837.0000","","14.7914",""
"209000000047","90000047","510180P1401M01950","180ETF沽1月1950","2014-01-14","2","SSE","P","202000001396","0","P9801","2","","","","","0.0500","","","","0.2430","0.0010","","3297.0000","","17.1898",""
"209000000048","90000048","510180P1401M02000","180ETF沽1月2000","2014-01-14","2","SSE","P","202000001396","0","P9801","2","","","","","0.0923","","","","0.2840","0.0010","","3707.0000","","19.3274",""
"209000000049","90000049","510180P1401M02050","180ETF沽1月2050","2014-01-14","2","SSE","P","202000001396","0","P9801","2","","","","","0.1420","","","","0.3330","0.0010","","4207.0000","","21.9343",""
"209000000050","90000050","510180P1401M02100","180ETF沽1月2100","2014-01-14","2","SSE","P","202000001396","0","P9801","2","","","","","0.1926","","","","0.3830","0.0010","","4707.0000","","24.5412",""
"209000000051","90000051","510180C1402M01900","180ETF购2月1900","2014-01-14","2","SSE","C","202000001396","0","P9802","2","","","","","0.0714","","","","0.2630","0.0010","","3637.0000","","18.9625",""
"209000000052","90000052","510180C1402M01950","180ETF购2月1950","2014-01-14","2","SSE","C","202000001396","0","P9802","2","","","","","0.0476","","","","0.2360","0.0010","","3077.0000","","16.0428",""
"209000000041","90000041","510180C1401M01900","180ETF购1月1900","2014-01-14","2","SSE","C","202000001396","0","P9801","2","","","","","0.0272","","","","0.2230","0.0010","","3207.0000","","16.7205",""
"209000000042","90000042","510180C1401M01950","180ETF购1月1950","2014-01-14","2","SSE","C","202000001396","0","P9801","2","","","","","0.0085","","","","0.1980","0.0010","","2677.0000","","13.9572",""
"209000000043","90000043","510180C1401M02000","180ETF购1月2000","2014-01-14","2","SSE","C","202000001396","0","P9801","2","","","","","0.0027","","","","0.1850","0.0010","","2087.0000","","10.8811",""
"209000000040","90000040","510050P1406M01650","50ETF沽6月1650","2014-01-14","2","SSE","P","202000001384","0","P9804","2","","","","","0.1713","","","","0.3180","0.0200","","3912.5000","","26.1706",""
"209000000055","90000055","510180C1402M02100","180ETF购2月2100","2014-01-14","2","SSE","C","202000001396","0","P9802","2","","","","","0.0112","","","","0.1830","0.0010","","1462.6000","","7.6257",""
"209000000056","90000056","510180P1402M01900","180ETF沽2月1900","2014-01-14","2","SSE","P","202000001396","0","P9802","2","","","","","0.0529","","","","0.2430","0.0010","","3187.0000","","16.6163",""
"209000000057","90000057","510180P1402M01950","180ETF沽2月1950","2014-01-14","2","SSE","P","202000001396","0","P9802","2","","","","","0.0790","","","","0.2710","0.0010","","3627.0000","","18.9103",""
"209000000058","90000058","510180P1402M02000","180ETF沽2月2000","2014-01-14","2","SSE","P","202000001396","0","P9802","2","","","","","0.1110","","","","0.3030","0.0010","","3937.0000","","20.5266",""
"209000000059","90000059","510180P1402M02050","180ETF沽2月2050","2014-01-14","2","SSE","P","202000001396","0","P9802","2","","","","","0.1494","","","","0.3410","0.0010","","4297.0000","","22.4035",""
"209000000060","90000060","510180P1402M02100","180ETF沽2月2100","2014-01-14","2","SSE","P","202000001396","0","P9802","2","","","","","0.1935","","","","0.3830","0.0010","","4717.0000","","24.5933",""
"209000000061","90000061","510180C1403M01900","180ETF购3月1900","2014-01-14","2","SSE","C","202000001396","0","P9803","2","","","","","0.0854","","","","0.2770","0.0010","","3777.0000","","19.6924",""
"209000000053","90000053","510180C1402M02000","180ETF购2月2000","2014-01-14","2","SSE","C","202000001396","0","P9802","2","","","","","0.0301","","","","0.2140","0.0010","","2397.0000","","12.4974",""
"209000000054","90000054","510180C1402M02050","180ETF购2月2050","2014-01-14","2","SSE","C","202000001396","0","P9802","2","","","","","0.0191","","","","0.1960","0.0010","","1767.0000","","9.2127",""
"209000000062","90000062","510180C1403M01950","180ETF购3月1950","2014-01-14","2","SSE","C","202000001396","0","P9803","2","","","","","0.0605","","","","0.2490","0.0010","","3217.0000","","16.7727",""
